user_id,rank
1330571318971027456,0
2233129128,1
23612012,2
232951413,3
3161912605,4
228806806,5
132702118,6
1884178352,7
1067064666,8
313299656,9
277594186,10
917892794953404416,11
94340676,12
3392260661,13
60494861,14
919900711,15
126345156,16
228660231,17
186797066,18
301042394,19
83338597,20
609121227,21
1651411087,22
28994084,23
1081889952412119040,24
1729528081,25
4369711156,26
161308987,27
1495255914,28
1167467303002345472,29
29521967,30
499173831,31
1356595452,32
1093199136596287488,33
3511819222,34
297267701,35
13247182,36
1702864658,37
425376095,38
77210396,39
75174049,40
1041446451715473408,41
46465628,42
617004214,43
92284830,44
4922808130,45
391563229,46
406172437,47
31479252,48
217741900,49
480444935,50
227629567,51
1588889406,52
97426170,53
354486695,54
101850896,55
1110733580,56
3086225424,57
434270813,58
2609917590,59
277634312,60
167842102,61
132787956,62
953260427475079168,63
252909412,64
898166654575751168,65
247232127,66
337149339,67
198339335,68
71476598,69
769229557576507392,70
279565150,71
22202577,72
19647809,73
60995997,74
185677963,75
